experiment,cv_pr_auc,cv_roc_auc,cv_f2,train_precision,train_recall,train_f1,train_f2,train_roc_auc,train_pr_auc,train_fp,train_fn,train_cost,train_threshold,validation_precision,validation_recall,validation_f1,validation_f2,validation_roc_auc,validation_pr_auc,validation_fp,validation_fn,validation_cost,validation_threshold,test_precision,test_recall,test_f1,test_f2,test_roc_auc,test_pr_auc,test_fp,test_fn,test_cost,test_threshold,model_name,sampling_strategy,use_class_weight,best_threshold,best_threshold_objective,best_threshold_objective_value,best_params
random_forest__baseline__no_class_weight,0.671177909776046,0.9243746962927152,0.5888829574269319,0.8863636363636364,0.7358490566037735,0.8041237113402062,0.76171875,0.9986327590921522,0.8302108221625458,5,14,355.0,0.28,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9751808226830139,0.8544792721501461,1,1,26.0,0.28,0.75,0.8823529411764706,0.8108108108108109,0.8522727272727273,0.9926463222772832,0.7201571830821124,5,2,55.0,0.28,random_forest,baseline,False,0.28,f2,0.9230769230769231,{'model__n_estimators': 50}
random_forest__baseline__class_weighted,0.6940086425128591,0.9386628908919221,0.6730951030440537,0.8983050847457628,1.0,0.9464285714285714,0.977859778597786,0.999928537300281,0.928955046616204,6,0,6.0,0.42,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9991717309859289,0.8051995013533476,1,1,26.0,0.42,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.8045977011494253,0.999387193523107,0.6957796797589184,5,3,80.0,0.42,random_forest,baseline,True,0.42,f2,0.9230769230769231,{'model__n_estimators': 50}
xgboost__smote__no_class_weight,0.6949295902781141,0.9393969570695203,0.4965838649834849,0.82,0.7735849056603774,0.7961165048543689,0.7824427480916031,0.9993739631264281,0.8326122472515448,9,12,309.0,0.93,0.8,0.9230769230769231,0.8571428571428571,0.8955223880597015,0.9967832342941896,0.8114166003660838,3,1,28.0,0.93,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.8045977011494253,0.9983412978534096,0.6575353083497723,5,3,80.0,0.93,xgboost,smote,False,0.93,f2,0.8955223880597015,{'model__n_estimators': 50}
logistic_regression__smote__no_class_weight,0.5814581555013192,0.8438552828090294,0.22378849637681159,0.20994475138121546,0.7169811320754716,0.3247863247863248,0.48346055979643765,0.9927973276493911,0.6623692956979178,143,15,518.0,0.99,0.21818181818181817,0.9230769230769231,0.35294117647058826,0.5607476635514018,0.9987142568211805,0.8417199752838934,43,1,68.0,0.99,0.27586206896551724,0.9411764705882353,0.4266666666666667,0.6349206349206349,0.9977991998161581,0.6299564438778608,42,1,67.0,0.99,logistic_regression,smote,False,0.99,f2,0.5607476635514018,"{'model__penalty': 'l2', 'model__C': 2.0}"
logistic_regression__baseline__class_weighted,0.5708430290825922,0.8457688401201964,0.19721391114113823,0.22674418604651161,0.7358490566037735,0.3466666666666667,0.5078125,0.9937352017581006,0.6671415137081866,133,14,483.0,0.99,0.24489795918367346,0.9230769230769231,0.3870967741935484,0.594059405940594,0.9985023740501391,0.8407369108038005,37,1,62.0,0.99,0.29411764705882354,0.8823529411764706,0.4411764705882353,0.6302521008403361,0.997516366057592,0.6262557779827602,36,2,86.0,0.99,logistic_regression,baseline,True,0.99,f2,0.594059405940594,"{'model__penalty': 'l2', 'model__C': 2.0}"
logistic_regression__baseline__no_class_weight,0.6380838984761227,0.9073577125056401,0.5827759197324415,0.875,0.660377358490566,0.7526881720430108,0.6944444444444444,0.9771041778511698,0.7332176013082289,5,18,455.0,0.27,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9090909090909091,0.997707813658734,0.8185717060717062,2,1,27.0,0.27,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.7558139534883721,0.99906311317475,0.6211441966136011,5,4,105.0,0.27,logistic_regression,baseline,False,0.27,f2,0.9090909090909091,"{'model__penalty': 'l2', 'model__C': 0.5}"
