threshold,precision,recall,f1,f2,specificity,roc_auc,pr_auc,tn,fp,fn,tp,false_positive_count,false_negative_count,true_positive_count,true_negative_count,total_cost
0.32,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9090909090909091,0.9997495930887692,0.997707813658734,0.8185717060717062,7985,2,1,12,2.0,1.0,12.0,7985.0,27.0
0.33,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9090909090909091,0.9997495930887692,0.997707813658734,0.8185717060717062,7985,2,1,12,2.0,1.0,12.0,7985.0,27.0
0.34,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9090909090909091,0.9997495930887692,0.997707813658734,0.8185717060717062,7985,2,1,12,2.0,1.0,12.0,7985.0,27.0
0.35,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9090909090909091,0.9997495930887692,0.997707813658734,0.8185717060717062,7985,2,1,12,2.0,1.0,12.0,7985.0,27.0
0.36,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9090909090909091,0.9997495930887692,0.997707813658734,0.8185717060717062,7985,2,1,12,2.0,1.0,12.0,7985.0,27.0
0.37,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9090909090909091,0.9997495930887692,0.997707813658734,0.8185717060717062,7985,2,1,12,2.0,1.0,12.0,7985.0,27.0
0.38,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9090909090909091,0.9997495930887692,0.997707813658734,0.8185717060717062,7985,2,1,12,2.0,1.0,12.0,7985.0,27.0
0.39,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9090909090909091,0.9997495930887692,0.997707813658734,0.8185717060717062,7985,2,1,12,2.0,1.0,12.0,7985.0,27.0
0.4,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9090909090909091,0.9997495930887692,0.997707813658734,0.8185717060717062,7985,2,1,12,2.0,1.0,12.0,7985.0,27.0
0.41,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9997495930887692,0.997707813658734,0.8185717060717062,7985,2,2,11,2.0,2.0,11.0,7985.0,52.0
0.42,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9997495930887692,0.997707813658734,0.8185717060717062,7985,2,2,11,2.0,2.0,11.0,7985.0,52.0
0.43,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9997495930887692,0.997707813658734,0.8185717060717062,7985,2,2,11,2.0,2.0,11.0,7985.0,52.0
0.44,0.9166666666666666,0.8461538461538461,0.88,0.859375,0.9998747965443846,0.997707813658734,0.8185717060717062,7986,1,2,11,1.0,2.0,11.0,7986.0,51.0
0.45,0.9166666666666666,0.8461538461538461,0.88,0.859375,0.9998747965443846,0.997707813658734,0.8185717060717062,7986,1,2,11,1.0,2.0,11.0,7986.0,51.0
0.46,0.9166666666666666,0.8461538461538461,0.88,0.859375,0.9998747965443846,0.997707813658734,0.8185717060717062,7986,1,2,11,1.0,2.0,11.0,7986.0,51.0
0.47,0.9166666666666666,0.8461538461538461,0.88,0.859375,0.9998747965443846,0.997707813658734,0.8185717060717062,7986,1,2,11,1.0,2.0,11.0,7986.0,51.0
