threshold,precision,recall,f1,f2,specificity,roc_auc,pr_auc,tn,fp,fn,tp,false_positive_count,false_negative_count,true_positive_count,true_negative_count,total_cost
0.12,0.011104256631708822,0.9473684210526315,0.02195121951219512,0.05303476723629935,0.8585172109443954,0.9751527151948716,0.8095250162566824,38908,6412,4,72,6412.0,4.0,72.0,38908.0,6512.0
0.13,0.011990008326394672,0.9473684210526315,0.023680315737543166,0.05706134094151213,0.8690864960282436,0.9751527151948716,0.8095250162566824,39387,5933,4,72,5933.0,4.0,72.0,39387.0,6033.0
0.14,0.012857142857142857,0.9473684210526315,0.02536997885835095,0.06097560975609756,0.8780229479258606,0.9751527151948716,0.8095250162566824,39792,5528,4,72,5528.0,4.0,72.0,39792.0,5628.0
0.15,0.01375883814255685,0.9473684210526315,0.027123752119043134,0.06501715730540003,0.8861209179170344,0.9751527151948716,0.8095250162566824,40159,5161,4,72,5161.0,4.0,72.0,40159.0,5261.0
0.16,0.01448692152917505,0.9473684210526315,0.028537455410225922,0.06825938566552901,0.8919240953221536,0.9751527151948716,0.8095250162566824,40422,4898,4,72,4898.0,4.0,72.0,40422.0,4998.0
0.17,0.01535181236673774,0.9473684210526315,0.030214015946286196,0.07208650380456548,0.8981023830538394,0.9751527151948716,0.8095250162566824,40702,4618,4,72,4618.0,4.0,72.0,40702.0,4718.0
0.18,0.01604882459312839,0.9342105263157895,0.03155555555555556,0.07508460236886633,0.9039496910856134,0.9751527151948716,0.8095250162566824,40967,4353,5,71,4353.0,5.0,71.0,40967.0,4478.0
0.19,0.016722408026755852,0.9210526315789473,0.0328484279680901,0.0779510022271715,0.9091791703442189,0.9751527151948716,0.8095250162566824,41204,4116,6,70,4116.0,6.0,70.0,41204.0,4266.0
0.2,0.017618927762396173,0.9210526315789473,0.034576438626821436,0.08183306055646482,0.9138790820829655,0.9751527151948716,0.8095250162566824,41417,3903,6,70,3903.0,6.0,70.0,41417.0,4053.0
0.21,0.018430753027909426,0.9210526315789473,0.036138358286009295,0.08532423208191127,0.9177405119152692,0.9751527151948716,0.8095250162566824,41592,3728,6,70,3728.0,6.0,70.0,41592.0,3878.0
