threshold,precision,recall,f1,f2,specificity,roc_auc,pr_auc,tn,fp,fn,tp,false_positive_count,false_negative_count,true_positive_count,true_negative_count,total_cost
0.3,0.021172638436482084,1.0,0.04146730462519936,0.09759759759759759,0.9247527231751597,0.9987142568211805,0.8417199752838934,7386,601,0,13,601.0,0.0,13.0,7386.0,601.0
0.31,0.02181208053691275,1.0,0.042692939244663386,0.10030864197530864,0.9270063853762364,0.9987142568211805,0.8417199752838934,7404,583,0,13,583.0,0.0,13.0,7404.0,583.0
0.32,0.02218430034129693,1.0,0.04340567612687813,0.10188087774294671,0.9282584199323901,0.9987142568211805,0.8417199752838934,7414,573,0,13,573.0,0.0,13.0,7414.0,573.0
0.33,0.022727272727272728,1.0,0.044444444444444446,0.10416666666666667,0.9300112683110053,0.9987142568211805,0.8417199752838934,7428,559,0,13,559.0,0.0,13.0,7428.0,559.0
0.34,0.023297491039426525,1.0,0.04553415061295972,0.10655737704918032,0.9317641166896207,0.9987142568211805,0.8417199752838934,7442,545,0,13,545.0,0.0,13.0,7442.0,545.0
0.35,0.023722627737226276,1.0,0.04634581105169341,0.10833333333333334,0.9330161512457744,0.9987142568211805,0.8417199752838934,7452,535,0,13,535.0,0.0,13.0,7452.0,535.0
0.36,0.024390243902439025,1.0,0.047619047619047616,0.1111111111111111,0.934894203080005,0.9987142568211805,0.8417199752838934,7467,520,0,13,520.0,0.0,13.0,7467.0,520.0
0.37,0.0248565965583174,1.0,0.048507462686567165,0.11304347826086956,0.9361462376361588,0.9987142568211805,0.8417199752838934,7477,510,0,13,510.0,0.0,13.0,7477.0,510.0
0.38,0.025896414342629483,1.0,0.05048543689320388,0.11732851985559567,0.9387755102040817,0.9987142568211805,0.8417199752838934,7498,489,0,13,489.0,0.0,13.0,7498.0,489.0
0.39,0.026859504132231406,1.0,0.052313883299798795,0.12126865671641791,0.9410291724051584,0.9987142568211805,0.8417199752838934,7516,471,0,13,471.0,0.0,13.0,7516.0,471.0
0.4,0.02754237288135593,1.0,0.05360824742268041,0.12404580152671756,0.9425316138725429,0.9987142568211805,0.8417199752838934,7528,459,0,13,459.0,0.0,13.0,7528.0,459.0
0.41,0.028199566160520606,1.0,0.05485232067510549,0.1267056530214425,0.9439088518843121,0.9987142568211805,0.8417199752838934,7539,448,0,13,448.0,0.0,13.0,7539.0,448.0
