threshold,precision,recall,f1,f2,specificity,roc_auc,pr_auc,tn,fp,fn,tp,false_positive_count,false_negative_count,true_positive_count,true_negative_count,total_cost
0.53,0.1875,0.9230769230769231,0.3116883116883117,0.5172413793103449,0.9934894203080005,0.9967832342941896,0.8114166003660838,7935,52,1,12,52.0,1.0,12.0,7935.0,77.0
0.54,0.1935483870967742,0.9230769230769231,0.32,0.5263157894736842,0.9937398272192313,0.9967832342941896,0.8114166003660838,7937,50,1,12,50.0,1.0,12.0,7937.0,75.0
0.55,0.2033898305084746,0.9230769230769231,0.3333333333333333,0.5405405405405406,0.9941154375860773,0.9967832342941896,0.8114166003660838,7940,47,1,12,47.0,1.0,12.0,7940.0,72.0
0.56,0.2222222222222222,0.9230769230769231,0.3582089552238806,0.5660377358490566,0.9947414548641542,0.9967832342941896,0.8114166003660838,7945,42,1,12,42.0,1.0,12.0,7945.0,67.0
0.57,0.23529411764705882,0.9230769230769231,0.375,0.5825242718446602,0.9951170652310004,0.9967832342941896,0.8114166003660838,7948,39,1,12,39.0,1.0,12.0,7948.0,64.0
0.58,0.24489795918367346,0.9230769230769231,0.3870967741935484,0.594059405940594,0.9953674721422311,0.9967832342941896,0.8114166003660838,7950,37,1,12,37.0,1.0,12.0,7950.0,62.0
0.59,0.25,0.9230769230769231,0.39344262295081966,0.6,0.9954926755978465,0.9967832342941896,0.8114166003660838,7951,36,1,12,36.0,1.0,12.0,7951.0,61.0
0.6,0.26666666666666666,0.9230769230769231,0.41379310344827586,0.6185567010309279,0.9958682859646927,0.9967832342941896,0.8114166003660838,7954,33,1,12,33.0,1.0,12.0,7954.0,58.0
0.61,0.2727272727272727,0.9230769230769231,0.42105263157894735,0.625,0.995993489420308,0.9967832342941896,0.8114166003660838,7955,32,1,12,32.0,1.0,12.0,7955.0,57.0
0.62,0.27906976744186046,0.9230769230769231,0.42857142857142855,0.631578947368421,0.9961186928759234,0.9967832342941896,0.8114166003660838,7956,31,1,12,31.0,1.0,12.0,7956.0,56.0
0.63,0.2857142857142857,0.9230769230769231,0.43636363636363634,0.6382978723404256,0.9962438963315388,0.9967832342941896,0.8114166003660838,7957,30,1,12,30.0,1.0,12.0,7957.0,55.0
0.64,0.2857142857142857,0.9230769230769231,0.43636363636363634,0.6382978723404256,0.9962438963315388,0.9967832342941896,0.8114166003660838,7957,30,1,12,30.0,1.0,12.0,7957.0,55.0
0.65,0.2857142857142857,0.9230769230769231,0.43636363636363634,0.6382978723404256,0.9962438963315388,0.9967832342941896,0.8114166003660838,7957,30,1,12,30.0,1.0,12.0,7957.0,55.0
