threshold,precision,recall,f1,f2,specificity,roc_auc,pr_auc,tn,fp,fn,tp,false_positive_count,false_negative_count,true_positive_count,true_negative_count,total_cost
0.15,0.012682926829268294,1.0,0.025048169556840076,0.060352831940575676,0.8732941029172405,0.9985023740501391,0.8407369108038005,6975,1012,0,13,1012.0,0.0,13.0,6975.0,1012.0
0.16,0.013197969543147208,1.0,0.026052104208416832,0.0626808100289296,0.8783022411418555,0.9985023740501391,0.8407369108038005,7015,972,0,13,972.0,0.0,13.0,7015.0,972.0
0.17,0.013785790031813362,1.0,0.027196652719665274,0.06532663316582915,0.8835607862777013,0.9985023740501391,0.8407369108038005,7057,930,0,13,930.0,0.0,13.0,7057.0,930.0
0.18,0.014317180616740088,1.0,0.02823018458197611,0.06770833333333333,0.8879429072242394,0.9985023740501391,0.8407369108038005,7092,895,0,13,895.0,0.0,13.0,7092.0,895.0
0.19,0.014722536806342015,1.0,0.029017857142857144,0.06951871657754011,0.8910729936146238,0.9985023740501391,0.8407369108038005,7117,870,0,13,870.0,0.0,13.0,7117.0,870.0
0.2,0.015169194865810968,1.0,0.029885057471264367,0.07150715071507151,0.8943282834606235,0.9985023740501391,0.8407369108038005,7143,844,0,13,844.0,0.0,13.0,7143.0,844.0
0.21,0.015719467956469165,1.0,0.030952380952380953,0.07394766780432309,0.8980843871290848,0.9985023740501391,0.8407369108038005,7173,814,0,13,814.0,0.0,13.0,7173.0,814.0
0.22,0.016331658291457288,1.0,0.032138442521631644,0.07665094339622641,0.9019656942531614,0.9985023740501391,0.8407369108038005,7204,783,0,13,783.0,0.0,13.0,7204.0,783.0
0.23,0.01703800786369594,1.0,0.03350515463917526,0.07975460122699386,0.9060974082884687,0.9985023740501391,0.8407369108038005,7237,750,0,13,750.0,0.0,13.0,7237.0,750.0
0.24,0.01747311827956989,1.0,0.034346103038309116,0.08165829145728644,0.9084762739451608,0.9985023740501391,0.8407369108038005,7256,731,0,13,731.0,0.0,13.0,7256.0,731.0
0.25,0.017881705639614855,1.0,0.03513513513513514,0.0834403080872914,0.9106047326906223,0.9985023740501391,0.8407369108038005,7273,714,0,13,714.0,0.0,13.0,7273.0,714.0
0.26,0.018309859154929577,1.0,0.035961272475795295,0.08530183727034121,0.9127331914360837,0.9985023740501391,0.8407369108038005,7290,697,0,13,697.0,0.0,13.0,7290.0,697.0
0.27,0.018950437317784258,1.0,0.03719599427753934,0.08807588075880758,0.9157380743708526,0.9985023740501391,0.8407369108038005,7314,673,0,13,673.0,0.0,13.0,7314.0,673.0
0.28,0.019402985074626865,1.0,0.03806734992679356,0.09002770083102493,0.9177413296606987,0.9985023740501391,0.8407369108038005,7330,657,0,13,657.0,0.0,13.0,7330.0,657.0
0.29,0.019938650306748466,1.0,0.039097744360902256,0.09232954545454546,0.9199949918617754,0.9985023740501391,0.8407369108038005,7348,639,0,13,639.0,0.0,13.0,7348.0,639.0
0.3,0.020634920634920634,1.0,0.04043545878693624,0.09530791788856305,0.9227494678853136,0.9985023740501391,0.8407369108038005,7370,617,0,13,617.0,0.0,13.0,7370.0,617.0
0.31,0.021346469622331693,1.0,0.04180064308681672,0.09833585476550681,0.9253787404532365,0.9985023740501391,0.8407369108038005,7391,596,0,13,596.0,0.0,13.0,7391.0,596.0
0.32,0.021702838063439065,1.0,0.042483660130718956,0.09984639016897082,0.9266307750093903,0.9985023740501391,0.8407369108038005,7401,586,0,13,586.0,0.0,13.0,7401.0,586.0
0.33,0.022336769759450172,1.0,0.043697478991596636,0.10252365930599369,0.9287592337548516,0.9985023740501391,0.8407369108038005,7418,569,0,13,569.0,0.0,13.0,7418.0,569.0
0.34,0.02292768959435626,1.0,0.04482758620689655,0.1050080775444265,0.9306372855890822,0.9985023740501391,0.8407369108038005,7433,554,0,13,554.0,0.0,13.0,7433.0,554.0
0.35,0.023465703971119134,1.0,0.04585537918871252,0.10726072607260725,0.9322649305120821,0.9985023740501391,0.8407369108038005,7446,541,0,13,541.0,0.0,13.0,7446.0,541.0
0.36,0.02389705882352941,1.0,0.0466786355475763,0.10906040268456375,0.9335169650682359,0.9985023740501391,0.8407369108038005,7456,531,0,13,531.0,0.0,13.0,7456.0,531.0
0.37,0.024761904761904763,1.0,0.048327137546468404,0.11265164644714037,0.935895830724928,0.9985023740501391,0.8407369108038005,7475,512,0,13,512.0,0.0,13.0,7475.0,512.0
